Pares de ROIs com correlação absoluta maior que 0.5:
                          ROI_1                           ROI_2  Correlacao
               ctx-rh-precuneus               ctx-lh-precentral    0.610069
        ctx-rh-lateraloccipital         ctx-lh-isthmuscingulate    0.609823
        ctx-rh-inferiorparietal      Left-Cerebral-White-Matter    0.609596
        ctx-lh-isthmuscingulate      Left-Cerebral-White-Matter    0.609320
                  Right-Putamen                    Left-Caudate    0.609248
               ctx-lh-precuneus               ctx-lh-precentral    0.608411
    ctx-lh-lateralorbitofrontal         ctx-lh-isthmuscingulate    0.608271
          ctx-lh-middletemporal                  Left-VentralDC    0.607961
                Right-VentralDC                    Left-Putamen    0.607562
               ctx-rh-precuneus              ctx-lh-postcentral    0.607469
        ctx-rh-lateraloccipital     ctx-lh-lateralorbitofrontal    0.607020
                  Left-Amygdala                   Left-Thalamus    0.606982
    ctx-lh-lateralorbitofrontal                   Left-Thalamus    0.606832
           ctx-lh-supramarginal      ctx-lh-medialorbitofrontal    0.606796
     ctx-rh-medialorbitofrontal         ctx-lh-superiortemporal    0.606711
          ctx-lh-middletemporal      ctx-lh-medialorbitofrontal    0.606426
           ctx-lh-supramarginal          ctx-lh-superiorfrontal    0.606247
         ctx-rh-superiorfrontal      ctx-lh-caudalmiddlefrontal    0.606123
                 Left-VentralDC                Left-Hippocampus    0.605934
        ctx-lh-inferiorparietal      Left-Cerebral-White-Matter    0.605885
    ctx-lh-lateralorbitofrontal                 ctx-lh-fusiform    0.605855
ctx-rh-rostralanteriorcingulate  ctx-lh-caudalanteriorcingulate    0.605730
              ctx-lh-precentral                  Left-VentralDC    0.605453
               ctx-rh-precuneus                 Right-VentralDC    0.605388
             ctx-rh-postcentral              ctx-lh-paracentral    0.605085
     ctx-lh-medialorbitofrontal  ctx-lh-caudalanteriorcingulate    0.604892
        ctx-lh-isthmuscingulate         ctx-lh-inferiorparietal    0.604267
                 Right-Thalamus                   Left-Amygdala    0.603902
         ctx-rh-superiorfrontal       ctx-rh-posteriorcingulate    0.603753
                  ctx-lh-insula  ctx-lh-caudalanteriorcingulate    0.603308
        ctx-rh-lateraloccipital         ctx-rh-isthmuscingulate    0.603005
               ctx-lh-precuneus                  Left-VentralDC    0.602736
           ctx-rh-supramarginal           ctx-rh-middletemporal    0.602574
         ctx-lh-parahippocampal                Left-Hippocampus    0.602370
               ctx-lh-precuneus                   Left-Thalamus    0.601776
        Right-Lateral-Ventricle                             CSF    0.601734
               ctx-rh-precuneus         ctx-rh-isthmuscingulate    0.601601
               ctx-lh-precuneus              ctx-lh-paracentral    0.601429
             ctx-lh-postcentral     ctx-lh-lateralorbitofrontal    0.601319
               ctx-lh-precuneus         ctx-lh-lateraloccipital    0.601299
               ctx-rh-precuneus         ctx-lh-lateraloccipital    0.601212
                  ctx-rh-insula      Left-Cerebral-White-Matter    0.600991
     ctx-lh-medialorbitofrontal         ctx-lh-inferiortemporal    0.600936
             ctx-rh-postcentral                  Right-Thalamus    0.600881
     ctx-rh-caudalmiddlefrontal  ctx-lh-caudalanteriorcingulate    0.600833
               ctx-rh-precuneus ctx-lh-rostralanteriorcingulate    0.600601
          ctx-rh-middletemporal                 ctx-lh-fusiform    0.599965
         ctx-rh-superiorfrontal           ctx-rh-middletemporal    0.599963
                            CSF          Left-Lateral-Ventricle    0.599481
               ctx-rh-precuneus         ctx-rh-inferiortemporal    0.599137
    ctx-rh-rostralmiddlefrontal      ctx-rh-medialorbitofrontal    0.599096
        ctx-lh-superiortemporal     ctx-lh-rostralmiddlefrontal    0.599047
         ctx-lh-superiorfrontal         ctx-lh-inferiortemporal    0.598792
               ctx-rh-precuneus         ctx-rh-lateraloccipital    0.598159
        ctx-lh-superiortemporal ctx-lh-rostralanteriorcingulate    0.597899
               ctx-lh-precuneus                 Right-VentralDC    0.597797
         ctx-rh-superiorfrontal                 ctx-lh-fusiform    0.597076
                  ctx-rh-insula  ctx-lh-caudalanteriorcingulate    0.597062
                Right-VentralDC                Left-Hippocampus    0.596940
                  ctx-lh-insula            ctx-lh-supramarginal    0.596917
          ctx-lh-middletemporal                 Right-VentralDC    0.596705
         ctx-rh-superiorfrontal         ctx-rh-lateraloccipital    0.596370
        ctx-rh-superiortemporal                  Right-Thalamus    0.596305
        ctx-rh-superiortemporal      Left-Cerebral-White-Matter    0.596264
                  Left-Pallidum    Left-Cerebellum-White-Matter    0.596202
        ctx-rh-superiortemporal            ctx-lh-supramarginal    0.596171
     ctx-lh-medialorbitofrontal                   Left-Amygdala    0.596049
             ctx-rh-postcentral         ctx-lh-inferiorparietal    0.595928
                  ctx-lh-insula      Left-Cerebral-White-Matter    0.595922
            Left-choroid-plexus                   3rd-Ventricle    0.595877
               ctx-lh-precuneus         ctx-lh-inferiortemporal    0.595771
        ctx-lh-superiorparietal     ctx-lh-lateralorbitofrontal    0.595526
                  ctx-rh-insula                ctx-rh-precuneus    0.595484
         ctx-rh-superiorfrontal                  Left-VentralDC    0.595358
         ctx-rh-superiorfrontal                 Right-VentralDC    0.595052
              ctx-lh-precentral                 Right-VentralDC    0.594996
    ctx-lh-lateralorbitofrontal         ctx-lh-inferiorparietal    0.594628
             ctx-rh-paracentral                ctx-lh-precuneus    0.594396
                  ctx-rh-insula                  Right-Thalamus    0.594193
          ctx-rh-middletemporal         ctx-lh-isthmuscingulate    0.594135
        ctx-rh-inferiorparietal         ctx-lh-superiortemporal    0.594057
              ctx-lh-precentral       ctx-lh-posteriorcingulate    0.593526
      ctx-rh-posteriorcingulate          ctx-lh-superiorfrontal    0.593426
                ctx-rh-fusiform           ctx-lh-middletemporal    0.593362
        ctx-lh-superiorparietal      Left-Cerebral-White-Matter    0.593267
         ctx-rh-superiorfrontal           ctx-lh-middletemporal    0.593234
                ctx-rh-fusiform     ctx-lh-lateralorbitofrontal    0.593029
        ctx-rh-inferiorparietal         ctx-lh-inferiortemporal    0.593018
         ctx-lh-parahippocampal               ctx-lh-entorhinal    0.592863
          ctx-lh-middletemporal                   Left-Amygdala    0.592793
        ctx-rh-superiortemporal                Left-Hippocampus    0.592708
    ctx-rh-rostralmiddlefrontal               ctx-lh-precentral    0.592641
ctx-rh-rostralanteriorcingulate     ctx-lh-lateralorbitofrontal    0.592205
        ctx-rh-superiortemporal     ctx-rh-rostralmiddlefrontal    0.591916
        ctx-rh-isthmuscingulate                ctx-lh-precuneus    0.591825
