Pares de ROIs com correlação absoluta maior que 0.5:
                          ROI_1                           ROI_2  Correlacao
    ctx-lh-lateralorbitofrontal                   ctx-lh-cuneus    0.528626
                 ctx-rh-lingual               ctx-lh-precentral    0.528559
        ctx-rh-inferiortemporal          Left-Cerebellum-Cortex    0.528525
     ctx-lh-medialorbitofrontal                 Right-VentralDC    0.528379
ctx-rh-rostralanteriorcingulate         ctx-lh-inferiortemporal    0.528054
        ctx-lh-inferiorparietal                  Right-Thalamus    0.528038
                 ctx-rh-lingual                ctx-lh-precuneus    0.528000
        ctx-lh-isthmuscingulate         ctx-lh-inferiortemporal    0.527959
        ctx-rh-inferiorparietal                   ctx-lh-insula    0.527878
     ctx-rh-caudalmiddlefrontal           ctx-lh-middletemporal    0.527640
                ctx-rh-fusiform                  Right-Thalamus    0.527526
      ctx-lh-transversetemporal               ctx-lh-precentral    0.527465
                  ctx-rh-cuneus     ctx-lh-lateralorbitofrontal    0.527397
         ctx-lh-superiorfrontal         ctx-lh-parstriangularis    0.527228
    ctx-lh-rostralmiddlefrontal                 ctx-lh-fusiform    0.527179
    ctx-lh-lateralorbitofrontal          Left-Cerebellum-Cortex    0.527077
                     Brain-Stem                    Left-Putamen    0.526965
 ctx-lh-caudalanteriorcingulate                  Left-VentralDC    0.526910
        ctx-lh-lateraloccipital  ctx-lh-caudalanteriorcingulate    0.526883
        ctx-lh-inferiorparietal                      Brain-Stem    0.526842
          ctx-rh-middletemporal      ctx-rh-caudalmiddlefrontal    0.526763
          ctx-lh-middletemporal         ctx-lh-lateraloccipital    0.526329
        ctx-lh-superiortemporal         ctx-lh-inferiorparietal    0.526320
                  Right-Caudate                   Left-Pallidum    0.526279
              Right-Hippocampus                   Left-Thalamus    0.526267
      ctx-rh-posteriorcingulate      ctx-rh-caudalmiddlefrontal    0.526245
        ctx-rh-lateraloccipital     ctx-lh-rostralmiddlefrontal    0.526238
      ctx-lh-posteriorcingulate                  Right-Thalamus    0.526148
             ctx-rh-paracentral                  Left-VentralDC    0.525838
             ctx-rh-paracentral            ctx-lh-supramarginal    0.525828
                  hpcr_wm_right                   Left-Amygdala    0.525827
                  ctx-lh-insula                Left-Hippocampus    0.525706
      ctx-lh-posteriorcingulate              ctx-lh-postcentral    0.525526
            Left_choroid_volume                   3rd-Ventricle    0.525307
          ctx-rh-middletemporal     ctx-lh-rostralmiddlefrontal    0.525183
          ctx-lh-middletemporal  ctx-lh-caudalanteriorcingulate    0.525005
                  hpcr_wm_right          ctx-rh-parahippocampal    0.524684
                  ctx-rh-insula                Left-Hippocampus    0.524500
        ctx-rh-superiortemporal       ctx-lh-transversetemporal    0.524311
ctx-rh-rostralanteriorcingulate         ctx-lh-superiortemporal    0.524099
        ctx-rh-lateraloccipital      ctx-lh-medialorbitofrontal    0.524073
      ctx-rh-posteriorcingulate              ctx-lh-paracentral    0.523907
             ctx-lh-postcentral                 ctx-lh-fusiform    0.523842
                ctx-rh-fusiform               Right-Hippocampus    0.523756
                  ctx-lh-cuneus      Left-Cerebral-White-Matter    0.523650
        Right-Lateral-Ventricle               Left-Inf-Lat-Vent    0.523587
         ctx-rh-superiorfrontal ctx-rh-rostralanteriorcingulate    0.523561
     ctx-rh-medialorbitofrontal              ctx-lh-paracentral    0.523495
                ctx-lh-fusiform                   ctx-lh-cuneus    0.523391
                  ctx-rh-insula               Right-Hippocampus    0.523385
                 ctx-lh-lingual         ctx-lh-isthmuscingulate    0.523060
     ctx-rh-caudalmiddlefrontal         ctx-lh-lateraloccipital    0.522853
      ctx-rh-transversetemporal            ctx-rh-supramarginal    0.522847
             ctx-rh-postcentral                      Brain-Stem    0.522757
           ctx-lh-supramarginal                  Left-VentralDC    0.522614
        ctx-rh-isthmuscingulate                  ctx-lh-lingual    0.522561
      ctx-rh-posteriorcingulate           ctx-lh-middletemporal    0.522533
        ctx-rh-inferiortemporal              ctx-lh-paracentral    0.522407
        ctx-lh-superiorparietal         ctx-lh-inferiortemporal    0.522340
        ctx-rh-isthmuscingulate         ctx-lh-superiorparietal    0.522328
                  ctx-rh-cuneus                  Right-Thalamus    0.522304
             ctx-lh-paracentral         ctx-lh-inferiorparietal    0.522298
     ctx-rh-caudalmiddlefrontal         ctx-lh-superiorparietal    0.522236
                ctx-rh-fusiform               ctx-rh-entorhinal    0.522206
          ctx-lh-middletemporal               ctx-lh-entorhinal    0.522138
        ctx-rh-inferiorparietal  ctx-lh-caudalanteriorcingulate    0.521998
          ctx-rh-middletemporal                   Left-Thalamus    0.521985
      ctx-rh-posteriorcingulate         ctx-rh-inferiorparietal    0.521959
        ctx-rh-inferiortemporal     ctx-lh-rostralmiddlefrontal    0.521741
     ctx-lh-medialorbitofrontal         ctx-lh-isthmuscingulate    0.521721
        ctx-lh-superiorparietal              ctx-lh-paracentral    0.521671
        ctx-lh-inferiorparietal                  Left-VentralDC    0.521548
                ctx-lh-fusiform          Left-Cerebellum-Cortex    0.521434
                  ctx-lh-insula         ctx-lh-inferiorparietal    0.521064
        ctx-lh-lateraloccipital                  Left-VentralDC    0.520951
               ctx-rh-precuneus                   ctx-rh-cuneus    0.520899
        ctx-rh-inferiorparietal       ctx-lh-posteriorcingulate    0.520699
        ctx-rh-inferiortemporal      ctx-lh-caudalmiddlefrontal    0.520671
                  ctx-rh-cuneus          ctx-lh-superiorfrontal    0.520651
        ctx-rh-superiortemporal      ctx-rh-caudalmiddlefrontal    0.520549
        ctx-lh-superiorparietal ctx-lh-rostralanteriorcingulate    0.520478
             ctx-rh-paracentral                 Right-VentralDC    0.520345
              ctx-rh-entorhinal                 Right-VentralDC    0.520226
        ctx-rh-inferiortemporal                   ctx-lh-cuneus    0.520148
 ctx-lh-caudalanteriorcingulate                  Right-Thalamus    0.519804
        ctx-lh-inferiortemporal                   Left-Thalamus    0.519766
           ctx-rh-supramarginal          ctx-lh-superiorfrontal    0.519525
    ctx-lh-rostralmiddlefrontal                  Left-VentralDC    0.519351
      ctx-rh-posteriorcingulate         ctx-lh-inferiortemporal    0.519281
           ctx-lh-supramarginal     ctx-lh-rostralmiddlefrontal    0.519221
        ctx-rh-inferiortemporal         ctx-lh-superiorparietal    0.519025
         ctx-rh-superiorfrontal       ctx-lh-transversetemporal    0.519001
        ctx-rh-inferiorparietal                   Left-Thalamus    0.518976
    ctx-lh-rostralmiddlefrontal         ctx-lh-inferiorparietal    0.518857
    ctx-rh-rostralmiddlefrontal                 Right-VentralDC    0.518499
ctx-lh-rostralanteriorcingulate                  Right-Thalamus    0.518312
ctx-lh-rostralanteriorcingulate      ctx-lh-caudalmiddlefrontal    0.518207
                  ctx-rh-insula                 ctx-lh-fusiform    0.518201
        ctx-rh-lateraloccipital                   ctx-lh-insula    0.518042
        ctx-rh-superiortemporal               ctx-lh-entorhinal    0.518005
                ctx-rh-fusiform            ctx-lh-supramarginal    0.517827
             ctx-rh-postcentral         ctx-rh-inferiortemporal    0.517726
ctx-rh-rostralanteriorcingulate           ctx-rh-middletemporal    0.517204
    ctx-lh-rostralmiddlefrontal       ctx-lh-posteriorcingulate    0.517065
     ctx-rh-caudalmiddlefrontal       ctx-lh-posteriorcingulate    0.516975
      ctx-rh-transversetemporal                ctx-rh-precuneus    0.516919
      ctx-lh-transversetemporal            ctx-lh-supramarginal    0.516877
    ctx-rh-rostralmiddlefrontal         ctx-lh-superiorparietal    0.516871
           Right-Accumbens-area                    Left-Putamen    0.516868
                  ctx-lh-insula                   Left-Pallidum    0.516826
        ctx-rh-inferiortemporal         ctx-lh-inferiorparietal    0.516802
        ctx-rh-inferiortemporal                  Left-VentralDC    0.516634
                  ctx-rh-insula         ctx-lh-inferiorparietal    0.516500
                ctx-rh-fusiform ctx-lh-rostralanteriorcingulate    0.516205
     ctx-rh-caudalmiddlefrontal              ctx-lh-paracentral    0.516203
        ctx-rh-inferiorparietal ctx-lh-rostralanteriorcingulate    0.516201
                  ctx-rh-cuneus                ctx-lh-precuneus    0.516078
        ctx-lh-lateraloccipital                 Right-VentralDC    0.515968
                  Left-Amygdala                   Left-Pallidum    0.515948
             ctx-rh-postcentral                   ctx-lh-insula    0.515911
          ctx-rh-middletemporal                      Brain-Stem    0.515890
           ctx-rh-supramarginal              ctx-lh-paracentral    0.515489
               Left-Hippocampus      Left-Cerebral-White-Matter    0.515325
           ctx-rh-supramarginal                 ctx-lh-fusiform    0.515273
      ctx-lh-posteriorcingulate                 ctx-lh-fusiform    0.515018
             ctx-lh-paracentral      ctx-lh-medialorbitofrontal    0.514838
              ctx-lh-entorhinal                  Left-VentralDC    0.514830
        ctx-lh-isthmuscingulate                 ctx-lh-fusiform    0.514790
    ctx-lh-lateralorbitofrontal                      Brain-Stem    0.514685
         ctx-rh-parsopercularis      ctx-rh-caudalmiddlefrontal    0.514554
            Left-Accumbens-area                Left-Hippocampus    0.514495
             ctx-lh-postcentral         ctx-lh-isthmuscingulate    0.514394
           ctx-lh-supramarginal          Left-Cerebellum-Cortex    0.514310
           Right_choroid_volume                   3rd-Ventricle    0.514258
        ctx-rh-inferiortemporal               ctx-lh-entorhinal    0.514166
      ctx-rh-posteriorcingulate     ctx-lh-rostralmiddlefrontal    0.514042
                ctx-rh-fusiform         ctx-lh-inferiortemporal    0.514019
      ctx-rh-posteriorcingulate         ctx-lh-superiortemporal    0.513996
        ctx-rh-lateraloccipital              ctx-lh-paracentral    0.513817
        ctx-lh-inferiorparietal                 ctx-lh-fusiform    0.513681
                ctx-rh-fusiform                 Right-VentralDC    0.513572
                 Left-VentralDC             Left-Accumbens-area    0.513372
          ctx-rh-middletemporal               ctx-rh-entorhinal    0.513347
                ctx-rh-fusiform                   ctx-rh-cuneus    0.513131
      ctx-rh-posteriorcingulate              ctx-lh-postcentral    0.513126
             ctx-lh-postcentral           ctx-lh-middletemporal    0.513116
     ctx-lh-medialorbitofrontal         ctx-lh-lateraloccipital    0.512993
        ctx-lh-isthmuscingulate                      Brain-Stem    0.512808
                  hpcr_wm_right         ctx-rh-superiortemporal    0.512729
        ctx-rh-superiortemporal              ctx-rh-postcentral    0.512621
      ctx-lh-transversetemporal          ctx-lh-superiorfrontal    0.512603
      ctx-rh-posteriorcingulate              ctx-rh-postcentral    0.512547
             ctx-rh-postcentral         ctx-rh-lateraloccipital    0.512537
        ctx-lh-superiorparietal      ctx-lh-caudalmiddlefrontal    0.512525
                  ctx-rh-insula                   Left-Pallidum    0.512485
    ctx-rh-rostralmiddlefrontal                  Left-VentralDC    0.512335
          ctx-lh-middletemporal      ctx-lh-caudalmiddlefrontal    0.512281
                ctx-rh-fusiform      ctx-lh-medialorbitofrontal    0.511980
         ctx-rh-superiorfrontal          Left-Cerebellum-Cortex    0.511740
        ctx-rh-superiortemporal              ctx-lh-postcentral    0.511724
                  ctx-rh-insula            ctx-rh-supramarginal    0.511478
          ctx-lh-middletemporal                    Left-Putamen    0.511108
                  ctx-lh-insula          Left-Cerebellum-Cortex    0.511078
     ctx-rh-caudalmiddlefrontal ctx-lh-rostralanteriorcingulate    0.510980
             ctx-rh-paracentral                      Brain-Stem    0.510935
    ctx-rh-rostralmiddlefrontal ctx-rh-rostralanteriorcingulate    0.510927
                  ctx-lh-insula               ctx-lh-entorhinal    0.510719
        ctx-lh-inferiorparietal                   Left-Thalamus    0.510597
     ctx-lh-medialorbitofrontal                 ctx-lh-fusiform    0.510574
              Right-Hippocampus                  Left-VentralDC    0.510318
        ctx-rh-inferiortemporal                 Right-VentralDC    0.510095
     ctx-lh-caudalmiddlefrontal                   Left-Thalamus    0.510094
      ctx-rh-posteriorcingulate                  Left-VentralDC    0.509952
     ctx-rh-medialorbitofrontal         ctx-lh-lateraloccipital    0.509928
             ctx-rh-paracentral         ctx-rh-lateraloccipital    0.509719
         ctx-lh-superiorfrontal         ctx-lh-inferiorparietal    0.509527
     ctx-lh-caudalmiddlefrontal                  Right-Thalamus    0.509063
    ctx-rh-rostralmiddlefrontal      ctx-rh-caudalmiddlefrontal    0.509038
           ctx-rh-supramarginal              ctx-rh-paracentral    0.508982
        ctx-rh-inferiortemporal                   Left-Thalamus    0.508914
        ctx-rh-superiortemporal                   ctx-rh-cuneus    0.508841
    ctx-rh-rostralmiddlefrontal       ctx-rh-posteriorcingulate    0.508827
             ctx-rh-postcentral      ctx-lh-medialorbitofrontal    0.508733
              ctx-rh-entorhinal           ctx-lh-middletemporal    0.508656
     ctx-lh-medialorbitofrontal                   Left-Pallidum    0.508352
        ctx-lh-inferiortemporal                  Right-Thalamus    0.508337
           ctx-rh-supramarginal                 Right-VentralDC    0.508184
    ctx-lh-lateralorbitofrontal               ctx-lh-entorhinal    0.508171
           ctx-rh-supramarginal       ctx-rh-posteriorcingulate    0.508150
         ctx-lh-superiorfrontal      ctx-lh-caudalmiddlefrontal    0.508138
                 ctx-rh-lingual          ctx-lh-superiorfrontal    0.508078
           ctx-rh-supramarginal                 ctx-rh-fusiform    0.507958
           ctx-rh-supramarginal                   ctx-lh-insula    0.507866
                ctx-lh-fusiform                  Left-VentralDC    0.507828
ctx-rh-rostralanteriorcingulate                ctx-rh-precuneus    0.507735
              ctx-rh-entorhinal         ctx-lh-inferiortemporal    0.507642
ctx-lh-rostralanteriorcingulate                      Brain-Stem    0.507626
            Left-Accumbens-area                   Left-Pallidum    0.507621
               ctx-rh-precuneus      ctx-lh-caudalmiddlefrontal    0.507613
    ctx-lh-rostralmiddlefrontal                 Right-VentralDC    0.507537
        ctx-rh-isthmuscingulate ctx-lh-rostralanteriorcingulate    0.507532
                  ctx-rh-cuneus                  ctx-lh-lingual    0.507531
           ctx-lh-supramarginal                  Right-Thalamus    0.507454
             ctx-lh-postcentral                  Left-VentralDC    0.507427
 ctx-lh-caudalanteriorcingulate                 Right-VentralDC    0.507293
                 ctx-rh-lingual     ctx-lh-lateralorbitofrontal    0.507251
             ctx-rh-paracentral         ctx-lh-inferiortemporal    0.507006
      ctx-lh-posteriorcingulate                      Brain-Stem    0.506991
             ctx-rh-paracentral           ctx-lh-middletemporal    0.506754
     ctx-rh-caudalmiddlefrontal                   Left-Thalamus    0.506547
                 ctx-rh-lingual            ctx-lh-pericalcarine    0.506506
          ctx-rh-middletemporal         ctx-lh-lateraloccipital    0.506471
                   hpcr_wm_left         ctx-lh-inferiortemporal    0.506435
                 ctx-rh-lingual                  Right-Thalamus    0.506244
      ctx-lh-transversetemporal       ctx-lh-posteriorcingulate    0.506199
         ctx-rh-superiorfrontal          ctx-lh-parsopercularis    0.506137
         ctx-lh-parsopercularis     ctx-lh-lateralorbitofrontal    0.506007
               ctx-lh-precuneus                Left-Hippocampus    0.505512
               Left-Hippocampus                      Brain-Stem    0.505392
              ctx-rh-entorhinal                  Left-VentralDC    0.505081
                 ctx-lh-lingual     ctx-lh-lateralorbitofrontal    0.505044
              ctx-rh-entorhinal                  Right-Thalamus    0.505016
         ctx-lh-superiorfrontal                   Left-Amygdala    0.504888
        ctx-rh-isthmuscingulate                 Right-VentralDC    0.504857
                ctx-lh-fusiform                 Right-VentralDC    0.504851
             ctx-lh-paracentral                 ctx-lh-fusiform    0.504811
        ctx-rh-lateraloccipital                      Brain-Stem    0.504687
        ctx-rh-superiortemporal         ctx-lh-superiorparietal    0.504677
             ctx-rh-paracentral         ctx-lh-lateraloccipital    0.504465
        ctx-rh-inferiorparietal      ctx-rh-caudalmiddlefrontal    0.504398
        ctx-lh-isthmuscingulate      ctx-lh-caudalmiddlefrontal    0.504293
          ctx-rh-middletemporal                  ctx-lh-lingual    0.504202
                Right-VentralDC            Right-Accumbens-area    0.504199
               ctx-rh-precuneus                Left-Hippocampus    0.504165
           ctx-rh-supramarginal                  Left-VentralDC    0.504047
        ctx-rh-lateraloccipital      ctx-rh-caudalmiddlefrontal    0.503983
        ctx-rh-isthmuscingulate                  Left-VentralDC    0.503900
             ctx-rh-paracentral      ctx-rh-caudalmiddlefrontal    0.503855
        ctx-lh-superiorparietal  ctx-lh-caudalanteriorcingulate    0.503658
     ctx-rh-medialorbitofrontal               ctx-lh-precentral    0.503559
      ctx-rh-posteriorcingulate                 Right-VentralDC    0.503512
            Left_choroid_volume                             CSF    0.503471
             ctx-lh-paracentral                      Brain-Stem    0.503375
      ctx-rh-posteriorcingulate                 ctx-lh-fusiform    0.503339
               ctx-rh-precuneus       ctx-lh-transversetemporal    0.503262
        ctx-lh-inferiortemporal                      Brain-Stem    0.503126
        ctx-lh-superiorparietal     ctx-lh-rostralmiddlefrontal    0.503035
ctx-rh-rostralanteriorcingulate         ctx-rh-lateraloccipital    0.502777
                  ctx-rh-insula              ctx-lh-postcentral    0.502751
             ctx-rh-postcentral         ctx-lh-lateraloccipital    0.502532
          ctx-lh-middletemporal                   Left-Pallidum    0.502525
                  ctx-lh-insula                    Left-Putamen    0.502423
    ctx-rh-rostralmiddlefrontal              ctx-rh-paracentral    0.502289
        ctx-rh-inferiortemporal              ctx-lh-postcentral    0.502130
    ctx-lh-lateralorbitofrontal                Left-Hippocampus    0.501898
           Right-choroid-plexus          Left-Lateral-Ventricle    0.501843
           ctx-rh-supramarginal         ctx-rh-isthmuscingulate    0.501638
        ctx-rh-lateraloccipital ctx-lh-rostralanteriorcingulate    0.501633
     ctx-rh-medialorbitofrontal                   Left-Amygdala    0.501628
                ctx-rh-fusiform               ctx-lh-precentral    0.501289
ctx-rh-rostralanteriorcingulate           ctx-lh-middletemporal    0.501169
               ctx-rh-precuneus               Right-Hippocampus    0.501089
               Left-Hippocampus                    Left-Putamen    0.501006
        ctx-lh-superiorparietal                  Left-VentralDC    0.500764
         ctx-rh-superiorfrontal                  ctx-rh-lingual    0.500503
                  ctx-rh-insula                      Brain-Stem    0.500453
        ctx-rh-inferiortemporal                  Right-Thalamus    0.500437
          ctx-rh-middletemporal              ctx-lh-paracentral    0.500269
           ctx-lh-supramarginal                   Left-Thalamus    0.500155
